"dates","reservas.internacionais","divida.liquida","nfsp","juros.de.mora","juros.eua","transacoes.correntes","conta.capital","dolar.diario","ipca","meta.selic","selic.efetiva","pib.var.acum.12.meses","desemprego.pnadc"
2015.17,364058,20.29,-2.16,0.00951792,0.25,-5603.9,9.5,3.0122,8.17,12.75,12.65,0.3,8.01
2015.16,363473.8,20.29,-2.16,0.00951792,0.25,-5603.9,9.5,3.0673,8.17,12.75,12.65,0.3,8.01
2015.15,363284.6,20.29,-2.16,0.00951792,0.25,-5603.9,9.5,3.08506,8.17,12.75,12.65,0.3,8.01
2015.14,362924,20.29,-2.16,0.00951792,0.25,-5603.9,9.5,3.193225,8.17,12.75,12.65,0.3,8.01
2015.13,363492.8,19.49,-0.29,0.01039967,0.25,-5759.1,14.7,3.1752,8.13,12.75,12.65,0.68,7.94
2015.12,361706.2,19.49,-0.29,0.01039967,0.25,-5759.1,14.7,3.25046,8.13,12.75,12.65,0.68,7.94
2015.11,361333.6,19.49,-0.29,0.01039967,0.25,-5759.1,14.7,3.13828,8.13,12.75,12.65,0.68,7.94
2015.1,362610.6,19.49,-0.29,0.01039967,0.25,-5759.1,14.7,2.95614,8.13,12.5357142857143,12.35,0.68,7.94
2015.09,362472,19.49,-0.29,0.01039967,0.25,-5759.1,14.7,2.87232,8.13,12.25,12.15,0.68,7.94
2015.08,362153.333333333,20.47,1.43,0.00822411,0.25,-7404,50.3,2.85586666666667,7.7,12.25,12.15,0.19,7.42
2015.07,362151.2,20.47,1.43,0.00822411,0.25,-7404,50.3,2.83082,7.7,12.25,12.15,0.19,7.42
2015.06,362905.4,20.47,1.43,0.00822411,0.25,-7404,50.3,2.72256,7.7,12.25,12.15,0.19,7.42
2015.05,362055.8,20.47,1.43,0.00822411,0.25,-7404,50.3,2.6031,7.7,12.25,12.15,0.19,7.42
2015.04,362977.2,20.82,-2.09,0.00935075,0.25,-12010.6,13.4,2.60136,7.14,12.0357142857143,11.85,0.35,6.8
2015.03,363411.6,20.82,-2.09,0.00935075,0.25,-12010.6,13.4,2.63194,7.14,11.75,11.65,0.35,6.8
2015.02,362858.8,20.82,-2.09,0.00935075,0.25,-12010.6,13.4,2.68878,7.14,11.75,11.65,0.35,6.8
2015.01,362915,20.82,-2.09,0.00935075,0.25,-12010.6,13.4,2.6929,7.14,11.75,11.65,0.35,6.8
2014.52,364585.5,20.78,-0.15,0.00961295,0.25,-9415.4,18.3,2.67365,6.41,11.75,11.65,0.54,6.49
2014.51,372125.8,20.78,-0.15,0.00961295,0.25,-9415.4,18.3,2.69056,6.41,11.75,11.65,0.54,6.49
2014.5,374628.4,20.78,-0.15,0.00961295,0.25,-9415.4,18.3,2.61398,6.41,11.75,11.65,0.54,6.49
2014.49,374891.4,20.78,-0.15,0.00961295,0.25,-9415.4,18.3,2.5716,6.41,11.5357142857143,11.35,0.54,6.49
